year,stage,h1,h2,h3,h4
2006,12,54270.25806451613,5681.8387096774195,12092.806451612903,3882.3225806451615
2007,1,91862.41935483871,5624.032258064516,16882.645161290322,5169.354838709677
2007,2,87707.60714285714,5866.392857142857,21393.5,12672.07142857143
2007,3,49541.83870967742,7834.741935483871,20536.290322580644,14440.290322580646
2007,4,34188.86666666667,7480.9,7788.5,11488.366666666667
2007,5,28212.0,17011.548387096773,4640.935483870968,5899.4838709677415
2007,6,23393.833333333332,6741.133333333333,3866.8333333333335,2609.3
2007,7,22805.032258064515,9611.612903225807,3039.935483870968,1556.1290322580646
2007,8,18419.74193548387,5241.451612903225,2977.2258064516127,1119.1290322580646
2007,9,12865.8,6579.4,2229.0666666666666,881.1333333333333
2007,10,12987.258064516129,8011.129032258064,1803.516129032258,890.483870967742
2007,11,22922.966666666667,11891.633333333333,1901.4,1123.7
2007,12,28837.354838709678,6593.612903225807,4727.806451612903,2316.3225806451615
2008,1,36678.54838709677,6312.774193548387,5821.032258064516,3831.451612903226
2008,2,61333.93103448276,4199.862068965517,11437.827586206897,8373.275862068966
2008,3,61447.67741935484,3586.8387096774195,13472.774193548386,12331.387096774193
2008,4,50521.86666666667,4907.8,14220.166666666666,14496.4
2008,5,35143.290322580644,8428.709677419354,5903.8387096774195,9981.09677419355
2008,6,27471.5,8322.933333333332,3387.4333333333334,3600.5
2008,7,20671.1935483871,5742.741935483871,2790.1612903225805,1860.8709677419354
2008,8,22161.064516129034,7845.1612903225805,2512.6774193548385,1210.1935483870968
2008,9,15755.566666666668,6807.0,2004.7,911.8
2008,10,20248.967741935485,18364.451612903227,2193.0967741935483,908.741935483871
2008,11,25109.633333333335,16521.366666666665,2703.1,1392.0333333333333
2008,12,36588.1935483871,4208.322580645161,7217.032258064516,4524.548387096775
2009,1,52764.41935483871,4441.129032258064,15968.58064516129,6393.322580645161
2009,2,63979.75,3923.25,14559.464285714286,9104.75
2009,3,45868.709677419356,3654.2258064516127,10546.516129032258,11264.0
2009,4,47046.9,1509.8666666666666,13048.2,13690.233333333334
2009,5,30320.83870967742,2191.3870967741937,7837.0,16566.74193548387
2009,6,24852.566666666666,3288.8333333333335,4594.833333333333,7133.633333333333
2009,7,27294.8064516129,10404.483870967742,3703.451612903226,2961.7419354838707
2009,8,23743.387096774193,15537.677419354839,2927.032258064516,1681.741935483871
2009,9,31058.2,25501.633333333335,3005.4,1400.6
2009,10,35873.8064516129,21803.8064516129,4096.096774193548,1729.6451612903227
2009,11,36405.5,12507.733333333334,7846.5,3349.5
2009,12,60641.22580645161,10475.0,7809.354838709677,5326.612903225807
2010,1,69532.6129032258,14463.290322580646,10196.161290322581,9913.161290322581
2010,2,58325.17857142857,13498.142857142857,5630.107142857143,10280.42857142857
2010,3,52660.87096774193,8845.0,7841.4838709677415,10454.516129032258
2010,4,44618.433333333334,17861.966666666667,8444.8,13375.266666666666
2010,5,28654.8064516129,21529.225806451614,3779.3548387096776,5751.096774193548
2010,6,22871.533333333333,9753.0,3096.0333333333333,2659.8
2010,7,20106.41935483871,10344.258064516129,2513.3870967741937,1563.225806451613
2010,8,15682.387096774193,8303.161290322581,2102.483870967742,1111.9354838709678
2010,9,13661.833333333334,6000.566666666667,1955.4333333333334,887.1333333333333
2010,10,21653.58064516129,6050.903225806452,2389.1290322580644,1056.225806451613
