iteration,bound,simulation_value,num_cuts_generated,wall_time_s,has_converged
199,1.295326394316385e8,3.3685836100000143e6,1,0.0032749176025390625,false
200,1.2953687537271085e8,1.2047134866407593e8,24,0.04115700721740723,false
201,1.2954075019725266e8,6.918201965861933e7,18,0.030999183654785156,false
202,1.2954996241170488e8,3.5162726899999976e6,1,0.0035560131072998047,false
203,1.295515025265186e8,1.8936709948035255e7,6,0.011056900024414062,false
204,1.2956145172647937e8,8.611655306559509e7,19,0.034028053283691406,false
205,1.2957729940362553e8,7.045879508871889e7,18,0.032460927963256836,false
206,1.2958604174337836e8,1.157978164547393e8,24,0.04097890853881836,false
207,1.2958792896832791e8,2.623407399316165e7,9,0.015178203582763672,false
208,1.2959069347837724e8,2.0884734181320205e7,5,0.010562896728515625,false
209,1.2959267892585208e8,3.072774463617906e7,7,0.013609886169433594,false
210,1.2960241557777628e8,2.6318797630263776e7,9,0.015757083892822266,false
211,1.2960609105494945e8,3.2445541599999964e6,1,0.0034360885620117188,false
212,1.2960661989248393e8,3.1717655759436294e7,9,0.017287015914916992,false
213,1.2961810224937716e8,1.1839782126037414e8,22,0.03873896598815918,false
214,1.2962079747480443e8,3.7724052899999917e6,1,0.0034608840942382812,false
215,1.2962591405631632e8,1.3937119913548318e8,34,0.05770611763000488,false
216,1.2964888366081251e8,9.097165074125059e7,23,0.03871583938598633,false
217,1.297103976277459e8,1.4835656219070864e8,23,0.03947901725769043,false
218,1.2972770988934687e8,3.0498092188788906e7,10,0.018500089645385742,false
219,1.2973980863126126e8,2.6740647320900813e7,8,0.014477014541625977,false
220,1.2973980863126124e8,6.755414531794518e6,2,0.0051419734954833984,false
221,1.2974925695713788e8,1.4759078704292873e8,22,0.03633904457092285,false
222,1.2986669078884594e8,1.3633025906904355e7,4,0.008466005325317383,false
223,1.2988358327623257e8,1.741220400384602e7,5,0.009990930557250977,false
224,1.2991068615478693e8,2.518491967013806e7,5,0.009639978408813477,false
225,1.2993408990243354e8,1.9978158868802106e8,38,0.06489300727844238,false
226,1.2994699323193471e8,7.991443620276272e6,2,0.005149126052856445,false
227,1.299644436124199e8,3.3685830905476213e6,1,0.0033309459686279297,false
228,1.2997326857473196e8,4.9461450821975216e7,13,0.024180889129638672,false
229,1.2998700308720416e8,5.278395421727523e7,9,0.017158031463623047,false
230,1.3000566736062115e8,7.15250825525552e6,2,0.005377054214477539,false
231,1.3002006686265454e8,1.2976687537797093e7,4,0.009280920028686523,false
232,1.3002006914770257e8,3.385118169999987e6,1,0.003322124481201172,false
233,1.3004540985529508e8,8.575329450269842e7,16,0.02925705909729004,false
234,1.3005700972828299e8,2.5253331424595132e7,8,0.015411853790283203,false
235,1.3006206356037532e8,3.534609865966272e7,7,0.014055013656616211,false
236,1.3008214547046833e8,6.928511933401555e6,2,0.005285024642944336,false
237,1.3008583552923347e8,1.1213888315410733e7,3,0.007064104080200195,false
238,1.3009852311693852e8,1.3665416502303183e7,3,0.0069539546966552734,false
239,1.3010487751532972e8,2.5402195759916097e7,6,0.012513875961303711,false
240,1.3011559140305711e8,6.629679409999996e6,2,0.005109071731567383,false
241,1.301199466874285e8,7.152278333428085e6,2,0.005268096923828125,false
242,1.3012577773897009e8,4.096173698978682e7,12,0.021356821060180664,false
243,1.3012797112679029e8,5.4217915503510565e7,12,0.022724151611328125,false
244,1.3013871958046947e8,1.201732454069423e8,23,0.04209184646606445,false
245,1.3014511069567013e8,1.8651000390279442e7,4,0.009509086608886719,false
246,1.3015904013164754e8,2.2365851186940774e7,7,0.016290903091430664,false
247,1.3016696113846445e8,2.743738351856135e7,9,0.016582012176513672,false
248,1.3016794942150009e8,6.928171300000012e6,2,0.005679130554199219,false
249,1.3017043250530863e8,6.758327449212462e6,2,0.005670070648193359,false
250,1.3018837160607642e8,2.3385397939124495e7,5,0.010331869125366211,false
251,1.3020633487408492e8,4.672137237296918e7,15,0.026641130447387695,false
252,1.3021732562450352e8,7.678126333486527e6,2,0.005579948425292969,false
253,1.3021984324462415e8,3.2110810650758386e7,9,0.01772785186767578,false
254,1.3022712046727553e8,3.3685836099999994e6,1,0.0034410953521728516,false
255,1.3025229618880634e8,6.867940414141193e6,2,0.005282878875732422,false
256,1.3025597909130919e8,2.704965855005184e7,6,0.01303720474243164,false
257,1.3025755897442985e8,2.237872806747444e7,8,0.01470494270324707,false
258,1.3025833323046991e8,3.3685836099999994e6,1,0.003259897232055664,false
259,1.3026042513959374e8,1.3399216243693188e7,4,0.008958101272583008,false
260,1.3026138712158734e8,2.949180413352768e7,9,0.017210006713867188,false
261,1.3026500889038628e8,6.758327449212462e6,2,0.00545191764831543,false
262,1.3026866341560516e8,9.460769814634025e7,17,0.03289794921875,false
263,1.3026934667353034e8,3.3685836099999994e6,1,0.003376007080078125,false
264,1.3027371775618017e8,3.3685836099999994e6,1,0.0035240650177001953,false
265,1.3027654990185305e8,2.1756744876835972e7,6,0.012946128845214844,false
266,1.303223746155066e8,4.1529918909009784e7,7,0.014831781387329102,false
267,1.3032354627362728e8,9.230812850308555e7,23,0.04376816749572754,false
268,1.3032486315666266e8,9.889578481148824e6,3,0.006891965866088867,false
269,1.3032668200128053e8,3.3685836099999994e6,1,0.0034699440002441406,false
270,1.3035333432230437e8,5.437237235163191e7,10,0.01850605010986328,false
271,1.3035694256560229e8,1.5389422003135204e7,5,0.01083993911743164,false
272,1.3035949556428358e8,1.7796801968595073e7,4,0.009439945220947266,false
273,1.3035957386777031e8,2.2065214763286984e8,50,0.09257316589355469,false
274,1.3037916065983023e8,6.0877869508835375e7,11,0.022162914276123047,false
275,1.303813384985591e8,6.6453206741236895e6,2,0.00568699836730957,false
276,1.3038451170762126e8,3.2633512189530656e7,10,0.019067049026489258,false
