iteration,bound,simulation_value,num_cuts_generated,wall_time_s,has_converged
153,1.292128086632088e8,8.384057482628608e7,21,0.024183988571166992,false
154,1.2921807884560896e8,8.195680262837647e7,18,0.02137613296508789,false
155,1.2922538838840626e8,8.363662705416374e7,19,0.022449970245361328,false
156,1.2924136284273721e8,4.228169681578179e7,12,0.013898849487304688,false
157,1.2925125013787216e8,3.2602339390625954e6,1,0.002192974090576172,false
158,1.2927061417365225e8,5.8021412391572386e7,13,0.016614198684692383,false
159,1.2927530993405874e8,9.87402807944864e6,3,0.003945827484130859,false
160,1.2927578517351134e8,2.8553932530654207e7,8,0.009922027587890625,false
161,1.2928517203011888e8,1.019482581707196e7,3,0.004409074783325195,false
162,1.2930181028672983e8,5.455394421222757e7,14,0.016556978225708008,false
163,1.2930204998022145e8,6.628732729999989e6,2,0.003247976303100586,false
164,1.2934966529711787e8,1.0125007041137531e7,3,0.004344940185546875,false
165,1.2935032221486598e8,3.2602546599999964e6,1,0.0019099712371826172,false
166,1.293548304959307e8,1.45362476645893e7,4,0.005346059799194336,false
167,1.2935787931889653e8,1.275901207933794e7,4,0.005254030227661133,false
168,1.2936302612884896e8,1.024750257356964e7,3,0.004179954528808594,false
169,1.2936622659881572e8,5.864891214336373e7,13,0.016443967819213867,false
170,1.2938581406293738e8,3.2348257607202172e7,7,0.009211063385009766,false
171,1.294024817381483e8,1.0906123425687203e8,22,0.02787494659423828,false
172,1.2941049770660971e8,2.7470406937284216e7,8,0.009704113006591797,false
173,1.2944023840254259e8,2.01378990022562e7,6,0.007493019104003906,false
174,1.2944340838579316e8,3.2445541599999964e6,1,0.0019800662994384766,false
175,1.2946789897861496e8,9.250482167004292e7,17,0.020790815353393555,false
176,1.2947335847979504e8,1.1066597833390103e8,25,0.029952049255371094,false
177,1.295095223545911e8,2.2336792121157035e7,6,0.007771015167236328,false
178,1.2951262653143679e8,6.856260395254701e6,2,0.0030291080474853516,false
179,1.2951829596135275e8,1.9436767331430078e7,5,0.00615382194519043,false
180,1.295195542432182e8,1.0500711319651887e8,18,0.022579193115234375,false
181,1.2952475797651571e8,6.234321810961202e6,2,0.003016948699951172,false
182,1.295601973074796e8,1.0122844189866781e7,3,0.004344940185546875,false
183,1.2957714104969485e8,6.1704446960667625e7,17,0.021058082580566406,false
184,1.2960136878171663e8,6.737340835038945e6,2,0.003070831298828125,false
185,1.296213234417344e8,5.269152455130589e7,10,0.012345075607299805,false
186,1.2962496497001664e8,8.169904647334525e7,17,0.021112918853759766,false
187,1.2964436079664053e8,1.7266164421718958e8,32,0.03995203971862793,false
188,1.2964842234035912e8,6.629364648157001e6,2,0.003242969512939453,false
189,1.29650792505034e8,1.3142449666943029e7,4,0.005438089370727539,false
190,1.2965737121247444e8,8.977371629643588e7,16,0.02033209800720215,false
191,1.2967186742309722e8,6.705704192099716e7,19,0.023193836212158203,false
192,1.2968443864849654e8,7.113872553813909e7,19,0.023149967193603516,false
193,1.2968916491860056e8,1.2353427503119709e8,25,0.03154921531677246,false
194,1.2969166234570782e8,8.30333255563234e7,18,0.022615909576416016,false
195,1.2970159433004858e8,4.5221531494548544e7,14,0.016514062881469727,false
196,1.2970681919847295e8,5.653694470179801e7,14,0.017151832580566406,false
197,1.2975812934753095e8,3.3134166068525374e7,7,0.009885072708129883,false
198,1.2976033229144314e8,1.9064801590334633e8,36,0.04471302032470703,false
199,1.297731681496079e8,3.385118169999987e6,1,0.0020699501037597656,false
200,1.2977585023271964e8,1.2244775883154908e8,24,0.030647993087768555,false
